NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
25,15,3,3,0,0.56529683,10,2,2912,6
25,22,4,4,0,0.089414693,3,0,135,0
50,50,8,8,0,0.51408218,0,2,1302,0
49,49,5,5,0,0.40402573,0,2,1367,74
357,355,25,25,0,1.87074838,2,6,8267,194
25,25,4,4,0,0.1079452,0,1,259,0
25,25,4,4,0,0.41347945,0,2,312,0
562,423,48,48,0,2.536005056,139,16,10142,48
,,,,,,,,1266,0
129,114,8,8,0,0.28514779,15,3,2916,0
79,67,8,8,0,0.092496425,12,2,1157,75
72,64,6,6,0,0.39559075,8,2,2058,0
20,20,6,6,0,0.2920548,0,2,1638,1
235,170,12,12,0,0.47740531,65,4,1735,0
25,25,4,4,0,0.18476713,0,1,855,21
,,,,,,,,330,0
471,271,34,34,0,0.43204772,200,7,28057,1378
90,57,8,8,0,0.21523672,33,2,3517,0
,,,,,,,,619,58
25,25,4,4,0,0.30276242,0,2,4902,348
,,,,,,,,6832,70
,,,,,,,,58674,451
25,25,4,4,0,0.10871233,0,1,632,0
41,40,7,7,0,0.35142693,1,3,542,1
,,,,,,,,3742,0
,,,,,,,,2029,0
,,,,,,,,97,0
62,54,0,0,0,0.72064942,8,0,3385,69
124,124,9,9,0,0.46791863,0,3,3971,68
,,,,,,,,350,0
,,,,,,,,84,0
,,,,,,,,1475,11
,,,,,,,,215,0
98,87,8,8,0,0.14857502,11,2,713,0
,,,,,,,,784,0
155,127,6,6,0,0.095178515,28,2,1249,75
,,,,,,,,334,0
,,,,,,,,2199,121
65,41,6,6,0,0.25706649,24,2,1531,1
170,137,11,11,0,0.40777922,33,4,8638,52
,,,,,,,,272,0
4324,3565,220,220,168,8.58731609,759,63,58943,2026
50,32,2,2,0,0.17696886,18,1,1639,5
257,210,16,16,0,1.10040831,47,3,7348,93
24,24,4,4,0,0.13470319,0,1,136,0
,,,,,,,,551,0
1081,779,80,80,25,3.93943661,302,27,3834,33
,,,,,,,,10988,116
,,,,,,,,2039,114
118,56,6,6,0,0.28277886,62,2,29540,50
25,25,4,4,0,0.20767124,0,1,710,0
166,111,16,16,0,0.32552543,55,3,8499,361
,,,,,,,,14760,6
25,25,4,4,0,0.52065754,0,2,2396,160
1068,909,78,78,34,4.66121408,159,17,40370,411
465,272,17,17,0,0.92959159,193,10,3302,64
,,,,,,,,133,0
76,55,9,9,0,0.67622572,21,3,7585,70
3464,3570,331,331,151,9.94199573,-106,74,200615,6006
,,,,,,,,137,0
52,52,6,6,0,0.47054794,0,3,645,0
471,491,47,47,6,1.94507372,-20,19,2969,22
25,25,5,5,0,0.34421918,0,2,1213,0
42,42,0,0,0,0.16268754,0,0,357,0
1696,1636,172,172,97,4.45213613,60,44,96795,2504
49,39,6,6,0,0.51801896,10,3,1587,0
190,189,28,28,0,0.80652243,1,6,5643,0
1902,1767,418,418,104,4.66809801,135,50,100625,1817
47,15,3,3,0,1,32,1,1001,0
276,233,27,27,5,2.74951486,43,12,6375,113
268,268,28,28,0,0.83555427,0,9,112524,1539
29,29,5,5,0,0.48493152,0,2,1607,61
1560,1497,160,160,77,5.86525166,63,33,130877,1942
173,142,22,22,0,0.49605718,31,5,51176,256
62,50,8,8,0,1.31978082,12,5,1167,0
25,25,4,4,0,0.35638356,0,1,215,0
24753,23367,2352,2352,1147,57.25750611,1386,523,3085794,131660
464,464,52,52,116,0.92561444,0,18,8109,198
441,441,47,47,8,1.96095693,0,15,32364,1113
18,18,3,3,0,0.70958906,0,2,834,39
142,100,14,14,2,1.84531507,42,6,1654,0
242,242,24,24,0,0.90937325,0,12,17876,386
20,20,4,4,0,0.4604452,0,2,,
17,17,2,2,0,0.26881546,0,1,2533,84
747,709,47,47,34,2.08666358,38,14,33458,577
510,339,48,48,6,1.5252595,171,9,7960,214
137,129,10,10,0,1.072,8,7,3675,81
5982,5777,703,703,316,14.6823445,205,141,362737,8306
748,693,70,70,64,1.8326745,55,20,17481,669
35,36,8,8,0,0.91372014,-1,3,329,0
3537,3417,385,385,107,10.26782903,120,89,475793,18252
3345,3209,377,377,192,9.12629475,136,102,101196,3958
25,49,8,8,0,0.33447021,-24,2,6010,179
4837,4650,611,611,305,12.89869996,187,107,298590,10867
6618,6332,698,698,320,13.47274273,286,175,447364,16161
2860,2784,404,404,129,6.024590224,76,44,160540,2599
2161,1334,110,110,79,4.39383309,827,47,66504,2433
780,501,63,63,22,1.66108399,279,13,19097,80
2078,1634,105,105,16,2.326289149,444,16,131625,5060
826,631,84,84,51,3.02504952,195,26,93237,816
4382,4352,445,445,276,6.80387735,30,87,202535,9778
372,354,27,27,24,2.1576128,18,13,13792,193
590,576,96,96,16,2.139131077,14,35,2989,316
,,,,,,,,32,0
61,50,8,8,0,0.83375344,11,4,666,0
1519,1017,104,104,16,2.85235312,502,17,32955,1010
817,824,82,82,12,3.70150976,-7,30,33497,275
1394,1380,123,123,63,3.4684254,14,51,47519,1544
30,30,2,2,0,0.2258317,0,0,3550,169
92,65,11,11,0,0.55353647,27,4,433,58
25,25,4,4,0,0.23736987,0,1,104,0
830,746,84,84,15,1.404361876,84,17,107502,4589
72,84,6,6,0,0.48225701,-12,5,318,0
,,,,,,,,7,4
1379,1388,162,162,76,3.708883806,-9,35,69805,1990
122,125,14,14,0,0.95117101,-3,7,14748,1413
221,149,24,24,6,0.70734745,72,12,2001,79
1741,1613,232,232,148,3.61008841,128,39,183249,7042
49,49,6,6,0,0.37791446,0,2,3983,163
1241,1031,148,148,45,5.20652092,210,26,257097,16284
11,11,2,2,0,0.29564133,0,1,609,0
23,15,3,3,0,0.32566211,8,2,922,0
,,,,,,,,93,0
856,715,72,72,44,3.14692673,141,14,59889,3724
40,22,4,4,0,0.28692403,18,1,14886,1344
25,25,2,2,0,0.43364385,0,2,5086,1153
25,11,2,2,0,0.056787048,14,1,226,0
,,,,,,,,1195,63
17,17,3,3,0,0.17292506,0,1,155,0
,,,,,,,,465,0
,,,,,,,,2696,96
,,,,,,,,163,0
49,49,6,6,0,0.27369303,0,2,3956,76
3071,2000,294,294,126,4.851818363,1071,26,329286,17683
778,771,70,70,44,2.80625349,7,13,47455,2546
56,56,5,5,0,0.24907045,0,2,46514,611
1412,1334,130,130,130,3.53737352,78,25,103797,6257
,,,,,,,,3095,122
25,25,4,4,0,0.59517807,0,2,1692,0
103,53,8,8,2,1.23779935,50,4,9611,160
,,,,,,,,210,0
23,21,3,3,0,0.48545337,2,0,704,0
24,20,3,3,0,0.23342466,4,2,13544,404
,,,,,,,,236,0
20,16,3,3,0,0.13407534,4,0,199,0
641,464,104,104,20,1.707307859,177,17,136647,9038
25,25,4,4,0,0.65983564,0,0,,
19,19,3,3,0,0.24383561,0,0,1794,169
94,94,13,13,0,0.65110257,0,2,5478,45
25,8,1,1,0,0.094863012,17,1,1851,0
742,712,64,64,25,4.24359279,30,25,36336,1637
25,25,4,4,0,0.2570959,0,2,329,0
15,15,3,3,0,0.17242008,0,0,230,0
25,25,4,4,0,0.32405481,0,2,29983,196
548,452,35,35,0,1.98295018,96,13,4123,0
,,,,,,,,170,0
25,25,4,4,0,0.35309589,0,2,515,0
25,25,4,4,0,0.38454795,0,2,2479,199
75,50,8,8,0,0.36652055,25,2,10307,790
75,61,10,10,0,0.30927853,14,3,34781,2064
25,25,5,5,0,0.49082193,0,2,1043,60
,,,,,,,,503,75
,,,,,,,,1276,0
40,40,7,7,0,1.00482682,0,0,739,0
25,25,4,4,0,0.21939726,0,2,5041,175
25,25,4,4,0,0.32734248,0,1,650,0
1252,762,17,17,0,2.18234831,490,12,16298,1021
35,35,6,6,0,0.97523287,0,2,88,0
17,17,3,3,0,0.39693797,0,2,1646,5
39,39,4,4,0,0.22381455,0,2,4570,365
,,,,,,,,2805,42
,,,,,,,,50,0
,,,,,,,,1624,0
15,9,2,2,0,0.29315069,6,0,,
35,34,8,8,0,0.25253826,1,2,13546,137
15,15,3,3,0,0.29461187,0,1,2364,166
,,,,,,,,6823,35
,,,,,,,,1599,0
428,225,33,33,0,0.52367735,203,7,156643,8345
30,30,6,6,0,0.37140411,0,1,1585,0
1694,1694,173,173,26,5.45651693,0,44,1001535,75041
3065,2900,476,476,118,6.711029963,165,62,585520,68480
157,157,21,21,0,0.79491151,0,7,85757,7639
714,714,40,40,0,1.51453626,0,7,65639,8394
1721,1721,201,201,107,5.90146774,0,52,689438,53518
419,419,25,25,13,1.35706585,0,12,60702,4511
209,209,16,16,0,1.75155699,0,4,47221,3614
,,,,,,,,27314,137
144,144,14,14,0,1.03677558,0,5,22284,675
404,414,29,29,15,2.35790939,-10,12,80222,3474
2156,1777,183,183,6,5.96246842,379,80,209307,8650
567,507,52,52,0,2.0367013,60,13,230762,7122
,,,,,,,,2163,15
4262,3260,407,407,113,8.10946886,1002,103,499158,25058
2034,1537,230,230,130,3.31259119,497,52,27645,408
1163,81,4,4,0,1.12777559,1082,0,2051,239
707,676,77,77,32,2.14248314,31,20,7116,223
49,25,4,4,0,0.44558904,24,2,3611,139
1807,1861,288,288,0,5.74129552,-54,54,28836,767
6026,4713,525,525,191,12.45136259,1313,93,493078,19027
25,15,3,3,0,0.50045663,10,2,2698,146
715,607,51,51,7,1.5211145,108,19,26631,3124
332,332,40,40,0,1.17812246,0,14,8888,832
503,459,42,42,16,1.93854052,44,20,25183,1741
633,750,81,81,19,2.90002239,-117,23,95471,2614
468,456,28,28,0,0.9892847,12,7,8448,118
49,49,8,8,0,0.17360917,0,2,10293,480
,,,,,,,,2159,73
3456,3119,416,416,156,6.58302565,337,90,107601,2758
