NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
307,248,25,25,0,0.48928413,59,10,3039,53
,,,,,,,,593,0
42,32,6,6,0,0.31746575,10,2,685,68
,,,,,,,,21048,923
,,,,,,,,467,0
94,69,9,9,0,0.62855044,25,3,1102,49
,,,,,,,,79,0
,,,,,,,,953,148
,,,,,,,,3806,0
680,647,39,39,25,1.89857251,33,13,30479,487
47,47,8,8,0,0.76008964,0,4,2564,390
,,,,,,,,635,0
20,20,3,3,0,0.309863,0,2,134,0
70,46,8,8,0,0.20908464,24,2,10523,766
149,82,14,14,0,0.59609085,67,3,5576,543
19529,16402,2021,2021,651,34.17610025,3127,455,4297314,196890
63,25,4,4,0,0.35967124,38,2,801,0
,,,,,,,,520,0
25,15,3,3,0,0.08127854,10,0,252,0
192,192,27,27,0,1.16888726,0,9,19877,374
,,,,,,,,1812,0
1928,1723,219,219,45,5.53926379,205,50,405732,20294
25,25,4,4,0,0.56076711,0,1,51,0
,,,,,,,,82,0
133,133,10,10,0,0.28738284,0,2,475,75
110,29,4,4,0,0.34641096,81,1,1363,162
41,25,2,2,0,0.37183562,16,2,1115,77
16,16,3,3,0,0.092383564,0,2,742,0
87,43,5,5,0,0.44842306,44,2,511,2
,,,,,,,,149,0
25,25,4,4,0,0.099178083,0,0,314,0
89,89,8,8,0,0.42241034,0,2,5547,85
25,25,4,4,0,0.34969863,0,2,130,0
18,18,3,3,0,0.3238965,0,1,835,21
25,25,4,4,0,0.28405479,0,0,63,0
,,,,,,,,431,0
86,50,7,7,0,0.49369865,36,3,4210,11
25,25,5,5,0,0.11013699,0,2,6496,190
179,179,25,25,13,1.07812319,0,6,13860,710
,,,,,,,,2919,389
181,171,22,22,0,0.77765298,10,10,6123,890
65,46,4,4,0,0.15211435,19,2,1362,59
25,18,3,3,0,0.26421916,7,0,1691,20
,,,,,,,,565,0
1483,1306,120,120,13,3.40514879,177,32,302198,9299
500,460,27,27,0,0.80391699,40,20,58522,2978
,,,,,,,,40650,1130
254,177,18,18,0,0.62606545,77,7,5218,0
171,164,13,13,0,0.9334526,7,5,8149,598
1119,926,109,109,0,2.82750743,193,26,446812,16419
25,25,4,4,0,0.21830137,0,1,264,0
80,66,6,6,0,0.32594436,14,3,4323,41
42,42,5,5,0,0.39073712,0,2,2088,97
25,25,4,4,0,0.48109588,0,2,630,0
544,446,35,35,0,0.94813976,98,13,11009,1114
50,50,8,8,0,0.41720547,0,3,2750,81
953,648,62,62,0,3.00782201,305,13,34672,2903
149,107,13,13,0,0.75166457,42,6,3089,0
,,,,,,,,334,0
25,25,4,4,0,0.12942466,0,1,1012,0
25,25,4,4,0,0.40482193,0,2,416,0
60,45,7,7,0,0.31056318,15,2,4131,420
370,437,55,55,0,0.94504711,-67,11,84179,4073
370,343,54,54,0,0.938595,27,6,12391,568
,,,,,,,,1093,0
22,22,4,4,0,0.12739725,0,0,921,0
,,,,,,,,6242,742
50,50,9,9,0,0.73830137,0,4,2370,3
131,102,9,9,0,0.23623422,29,3,3132,100
,,,,,,,,603,0
16,17,4,4,0,0.17550363,-1,1,11700,178
1226,986,115,115,28,2.21873834,240,26,13829,609
42,42,7,7,0,0.73722484,0,2,2211,0
16,16,3,3,0,0.30719179,0,1,709,0
35,25,4,4,0,0.11912329,10,1,91,0
,,,,,,,,46,0
,,,,,,,,2615,0
,,,,,,,,40,0
171,171,29,29,0,0.98630136,0,4,14877,224
134,47,8,8,0,0.26779366,87,2,223,0
472,442,27,27,9,0.63146744,30,8,39387,1317
102,65,11,11,0,0.62919179,37,3,409,0
1159,994,93,93,43,2.37126899,165,26,19377,1595
22,22,4,4,0,0.16749689,0,0,529,0
30,30,5,5,0,0.12648402,0,2,880,55
591,556,63,63,0,1.95049348,35,19,67951,5009
,,,,,,,,144,0
100,100,8,8,0,0.37367123,0,4,9469,130
132,132,12,12,0,0.42649391,0,5,4580,317
135,113,4,4,0,0.71928394,22,2,6955,457
,,,,,,,,18831,2800
599,597,16,16,0,0.40050241,2,6,2150,61
25,25,4,4,0,0.29545206,0,1,337,0
23,23,4,4,0,0.15199524,0,1,6398,0
50,22,4,4,0,0.22727273,28,1,1073,0
55,25,4,4,0,0.18389042,30,2,429,40
,,,,,,,,130,0
123,121,13,13,0,0.73422033,2,2,8252,658
1023,852,97,97,0,1.64035102,171,28,308490,15936
327,294,28,28,0,0.97588044,33,9,3742,95
988,925,99,99,60,2.51508686,63,17,105928,3150
25,25,4,4,0,0.13249315,0,1,1380,97
25,25,4,4,0,0.58399999,0,2,1048,78
1621,1621,235,235,101,4.26982752,0,38,84989,4672
225,225,17,17,0,0.39505291,0,7,28373,2116
,,,,,,,,1460,0
15,15,4,4,0,0.40566209,0,2,1319,96
68,68,8,8,0,0.28738919,0,2,20273,2242
,,,,,,,,1996,77
,,,,,,,,4697,120
165,165,5,5,0,0.82325878,0,3,88741,431
253,253,22,22,0,1.33452988,0,5,29939,2474
25,25,4,4,0,0.078246579,0,1,2563,102
25,25,5,5,0,0.16723287,0,2,10458,152
,,,,,,,,1651,72
42,42,5,5,0,0.27038488,0,2,5354,1048
37,37,8,8,0,0.32165864,0,3,3168,154
78,78,8,8,0,0.89873508,0,3,10555,1139
25,25,4,4,0,0.41227397,0,2,16993,2290
377,377,44,44,23,1.69469619,0,26,20149,1865
111,111,26,26,0,0.32889053,0,3,8804,136
338,338,35,35,8,1.82627825,0,9,69652,1547
,,,,,,,,5760,396
280,269,18,18,0,1.62762633,11,8,19230,2194
,,,,,,,,1180,150
,,,,,,,,8559,670
25,25,4,4,0,0.33676714,0,2,2666,54
25,25,5,5,0,0.34169862,0,1,968,64
347,347,19,19,0,0.99601642,0,7,15018,1313
25,25,5,5,0,0.23550685,0,2,9576,1370
626,626,90,90,44,1.99753828,0,19,75295,5875
73,73,26,26,0,0.36829105,0,4,21056,1538
25,25,4,4,0,0.52449316,0,2,11875,1128
260,260,28,28,0,1.0262341,0,10,71782,4965
48,48,10,10,0,0.43630138,0,3,8707,440
250,250,21,21,0,1.24444186,0,10,21501,1599
36,36,6,6,0,0.33112633,0,2,1800,144
85,85,7,7,0,0.27230382,0,6,20737,120
25,25,4,4,0,0.1740274,0,2,3918,90
25,25,4,4,0,0.23751634,0,2,2558,0
232,232,6,6,0,1.07411292,0,2,2788,40
25,25,4,4,0,0.070684932,0,1,8361,402
195,195,6,6,0,1.52801152,0,2,66466,6617
99,99,30,30,0,0.55754811,0,4,1953,0
88,88,14,14,0,0.94495815,0,3,8672,161
25,25,4,4,0,0.33172601,0,2,7027,145
278,278,34,34,0,0.71275142,0,9,23815,1110
1737,1737,203,203,63,7.13325501,0,66,206423,11123
50,50,11,11,0,0.64646576,0,5,10057,1421
303,303,42,42,0,1.077023962,0,14,38410,4582
4059,4059,467,467,244,10.65177744,0,156,590416,35699
160,160,11,11,0,2.063504876,0,4,7785,97
,,,,,,,,720,0
25,25,4,4,0,0.33457536,0,2,8539,55
357,357,24,24,18,1.61002689,0,15,11518,823
29,29,5,5,0,0.28634861,0,2,11733,723
83,83,10,10,0,0.22756231,0,3,17074,1296
,,,,,,,,4804,660
47,47,5,5,0,1.08050707,0,2,12554,1241
,,,,,,,,667,0
24,24,4,4,0,0.080936074,0,2,7474,1260
,,,,,,,,2317,74
,,,,,,,,1340,0
25,25,4,4,0,0.27572602,0,2,2788,63
,,,,,,,,276,0
292,292,32,32,14,1.08018589,0,11,29504,1335
,,,,,,,,1100,0
25,25,4,4,0,0.30717808,0,1,2381,17
25,25,6,6,0,0.28854793,0,2,8111,432
25,25,4,4,0,0.12493151,0,2,3630,185
25,25,7,7,0,0.50421917,0,3,8114,418
25,25,4,4,0,0.14717808,0,1,3680,151
25,25,4,4,0,0.31857535,0,2,6482,225
46,46,6,6,0,0.59166169,0,4,28191,1729
,,,,,,,,1108,52
837,837,111,111,42,2.38418747,0,29,72495,2476
15,15,1,1,0,0.22410959,0,2,2231,163
25,25,2,2,0,0.4289315,0,2,4595,121
25,25,4,4,0,0.25972602,0,2,1904,34
,,,,,,,,1427,0
477,477,35,35,31,2.90762601,0,25,20938,245
25,25,4,4,0,0.31364384,0,2,1650,95
,,,,,,,,1304,0
,,,,,,,,8,0
993,993,136,136,40,1.80887826,0,32,15745,176
25,25,6,6,0,0.20372602,0,2,676,0
494,494,54,54,15,2.50604692,0,12,9090,560
18,18,3,3,0,0.33807147,0,2,4345,113
16,16,4,4,0,0.35496575,0,2,887,84
333,333,75,75,0,2.96266673,0,5,9652,1547
25,25,4,4,0,0.054356165,0,2,3601,48
376,376,30,30,0,1.51578373,0,6,11651,317
55,55,7,7,0,0.17564134,0,2,1742,2
25,25,4,4,0,0.24810959,0,2,10900,331
30,30,5,5,0,0.39369863,0,2,2525,148
25,25,4,4,0,0.044273973,0,0,426,0
22,22,4,4,0,0.072602741,0,2,225,0
25,25,5,5,0,0.26389042,0,2,7263,274
45,25,3,3,0,0.15112329,20,2,669,195
25,25,4,4,0,0.072986305,0,1,632,42
25,25,4,4,0,0.1820274,0,0,2742,77
675,384,29,29,7,1.01319233,291,9,96733,2154
42,25,4,4,0,0.37468493,17,2,3418,8
50,37,7,7,0,0.49085942,13,1,4127,312
120,85,4,4,0,1.0619452,35,0,1841,18
35,25,4,4,0,0.29852054,10,2,36091,122
,,,,,,,,962,38
25,25,2,2,0,0.14038356,0,0,420,0
116,66,9,9,0,0.48502358,50,1,1058,19
33,25,4,4,0,0.35254794,8,2,455,0
,,,,,,,,3138,47
346,205,18,18,0,0.56097561,141,13,1905,33
83,61,4,4,0,1.31309592,22,1,1507,0
18,8,1,1,0,0.35445204,10,0,621,0
25,25,4,4,0,0.28032878,0,0,2523,22
99,49,9,9,0,0.36186749,50,1,1663,0
50,40,7,7,0,0.32175342,10,1,1797,159
265,120,12,12,0,0.53399053,145,5,4280,58
25,25,4,4,0,0.21216439,0,2,22778,106
25,25,4,4,0,0.085260272,0,0,47407,888
25,25,4,4,0,0.098630138,0,1,1078,15
25,11,2,2,0,0.22266501,14,1,108,0
25,25,4,4,0,0.26093152,0,2,958,32
213,136,12,12,0,0.46194601,77,3,3062,76
49,44,8,8,0,0.18156911,5,2,2762,10
470,257,21,21,0,1.089398524,213,8,17521,843
25,22,4,4,0,0.22179328,3,2,932,0
50,50,8,8,0,0.26936987,0,1,1605,0
25,25,4,4,0,0.30838355,0,0,795,44
25,25,4,4,0,0.15671232,0,0,1129,0
25,25,4,4,0,0.092712328,0,1,166,0
25,25,4,4,0,0.18783562,0,1,840,0
80,25,4,4,0,0.097095892,55,0,1142,0
25,25,4,4,0,0.16778082,0,0,2503,123
25,25,4,4,0,0.32778081,0,1,2903,0
25,25,4,4,0,0.28142467,0,0,911,0
35,19,3,3,0,0.34980032,16,2,1307,0
25,25,4,4,0,0.16591781,0,2,1736,0
74,25,4,4,0,0.1800548,49,2,3821,106
19,18,3,3,0,0.18736681,1,2,724,0
49,17,3,3,0,0.20676874,32,0,933,22
25,25,4,4,0,0.22487672,0,1,543,0
25,25,4,4,0,0.27495891,0,0,1948,0
25,25,4,4,0,0.19441096,0,0,695,0
68,48,8,8,0,0.16506849,20,2,14684,702
25,25,4,4,0,0.37742466,0,1,1414,0
1476,1055,77,77,116,1.03235328,421,27,40495,475
22,22,4,4,0,0.26326278,0,2,2258,0
25,25,4,4,0,0.20065753,0,0,709,7
25,24,4,4,0,0.40091324,1,2,569,0
121,99,12,12,0,0.230953605,22,4,1457,13
994,495,36,36,32,1.01497477,499,10,59616,4404
,,,,,,,,21504,437
25,25,4,4,0,0.11539726,0,2,614,52
25,11,2,2,0,0.11130952,14,0,1302,0
25,25,4,4,0,0.17271233,0,0,1285,97
33,25,4,4,0,0.41873974,8,2,3792,409
50,50,7,7,0,0.75057537,0,3,1619,0
125,41,7,7,0,0.30482268,84,2,48706,610
,,,,,,,,880,0
25,25,4,4,0,0.18147945,0,0,312,0
25,25,4,4,0,0.26838356,0,2,1558,0
25,25,4,4,0,0.13150685,0,0,1557,179
25,25,8,8,0,0.46520549,0,1,370,38
48,38,5,5,0,0.22537851,10,2,32803,1943
39,39,6,6,0,0.425545282,0,1,1983,14
25,25,4,4,0,0.11463014,0,1,1806,0
50,50,6,6,0,0.39221917,0,4,781,0
47,24,4,4,0,0.19303653,23,0,340,0
25,25,4,4,0,0.22673972,0,2,6722,83
25,25,4,4,0,0.12953424,0,1,725,3
1671,1665,110,110,91,4.03875053,6,48,208421,6197
514,255,29,29,0,0.9399983,259,7,14898,360
49,49,5,5,0,0.23421861,0,2,5173,422
16,16,3,3,0,0.18047945,0,0,199,0
25,25,4,4,0,0.083178081,0,1,982,0
691,432,47,47,6,1.38791748,259,12,22253,547
25,25,4,4,0,0.35967124,0,2,2020,0
96,94,15,15,0,0.87224226,2,2,11754,0
237,175,17,17,0,0.86895115,62,3,7943,78
,,,,,,,,24306,1278
,,,,,,,,1988,0
25,25,4,4,0,0.37578082,0,2,356,0
,,,,,,,,1108,10
25,25,4,4,0,0.089095891,0,1,701,0
217,88,11,11,0,0.22204234,129,2,25108,557
,,,,,,,,6755,24
25,25,4,4,0,0.29030138,0,1,12648,551
25,25,4,4,0,0.27408218,0,1,105,0
200,40,8,8,0,0.78356165,160,2,2572,40
,,,,,,,,517,0
25,25,4,4,0,0.36394522,0,2,1398,0
830,316,34,34,20,1.30061745,514,11,132517,1371
,,,,,,,,186,0
47,47,8,8,0,0.48295891,0,3,7495,0
25,25,4,4,0,0.24547945,0,2,8,0
12,12,2,2,0,0.41849315,0,0,59,0
25,25,4,4,0,0.3659178,0,2,1142,0
35,32,6,6,0,1.13113323,3,0,77,0
81,75,11,11,0,1.15736324,6,2,2097,66
,,,,,,,,574,77
25,25,4,4,0,0.35090411,0,2,292,0
126,108,16,16,0,0.81725258,18,5,1980,0
,,,,,,,,187,0
25,17,3,3,0,0.10942788,8,0,301,0
61,46,8,8,0,0.36707762,15,0,759,0
16,16,3,3,0,0.19760273,0,0,109,0
43,39,6,6,0,0.90487668,4,0,1368,0
25,17,3,3,0,0.63158745,8,0,347,63
25,22,4,4,0,0.25828144,3,1,324,0
25,25,4,4,0,0.15331507,0,2,3894,542
12,12,2,2,0,0.19246575,0,0,57,0
74,53,4,4,0,0.75418706,21,4,869,75
100,89,16,16,0,0.53493027,11,4,1714,85
18,21,4,4,0,0.1543379,-3,0,,
50,34,6,6,0,0.74931989,16,1,224,0
,,,,,,,,771,0
148,110,10,10,0,0.45696139,38,3,4974,0
12,12,2,2,0,0.44452053,0,0,267,0
194,149,34,34,0,0.37015721,45,8,679,0
20,18,3,3,0,0.27488583,2,0,109,0
100,90,8,8,7,0.41372907,10,2,69924,394
99,60,10,10,0,0.18863013,39,2,85467,268
44,44,5,5,0,0.19649562,0,2,2255,0
139,96,6,6,0,0.16041376,43,2,1285,21
21,21,4,4,0,0.25792563,0,0,88,0
20,20,3,3,0,0.20054795,0,1,,
26,26,5,5,0,0.24193889,0,1,842,19
,,,,,,,,928,0
18,18,3,3,0,0.1870624,0,1,,
25,25,4,4,0,0.26871234,0,0,372,0
25,25,4,4,0,0.2310137,0,0,939,0
12,25,4,4,0,0.29928768,-13,0,81,0
163,134,6,6,0,0.49435888,29,3,854,73
13,13,2,2,0,0.13951528,0,0,1004,0
50,25,4,4,0,0.88646573,25,0,150,0
12,12,2,2,0,0.32100457,0,0,3498,27
25,25,4,4,0,0.05380822,0,0,1182,0
25,21,4,4,0,0.7932474,4,0,294,0
1943,1515,261,261,105,6.916592883,428,23,53682,3935
25,25,4,4,0,0.21994521,0,1,2172,35
25,25,4,4,0,0.18553425,0,0,,
15,15,3,3,0,0.4381735,0,0,132,0
99,49,5,5,0,0.26545292,50,2,1705,0
25,25,4,4,0,0.73216438,0,0,114,0
304,250,10,10,0,0.8448734,54,4,56246,405
14,10,2,2,0,0.44931507,4,1,,
,,,,,,,,676,0
25,25,4,4,0,0.18542466,0,0,,
25,20,6,6,0,0.80904108,5,2,23057,217
25,25,5,5,0,0.43488584,0,1,474,57
25,23,4,4,0,0.41715306,2,2,,
95,81,15,15,0,0.57922586,14,2,2053,0
20,20,3,3,0,0.10534246,0,1,1322,0
245,104,109,109,0,1.00724694,141,1,524,0
25,16,4,4,0,1,9,0,275,0
47,47,7,7,0,0.22104342,0,2,1445,164
25,25,4,4,0,0.14750685,0,1,309,0
28,26,5,5,0,0.087565862,2,2,293,0
49,41,7,7,0,0.4913175,8,0,598,0
25,22,5,5,0,0.52503115,3,2,275,0
50,37,6,6,0,0.61785702,13,0,98,0
25,25,4,4,0,0.12756164,0,1,117,0
,,,,,,,,521,0
25,24,4,4,0,0.15890411,1,0,161,0
25,25,4,4,0,0.65457535,0,0,302,0
638,121,4,4,0,0.90282272,517,2,57,0
25,25,4,4,0,0.28,0,0,113,0
50,43,7,7,0,0.56932726,7,3,1619,0
35,35,6,6,0,0.30598825,0,2,132,0
24,15,3,3,0,0.23799087,9,1,,
200,137,20,20,0,0.47955991,63,5,3227,0
25,25,4,4,0,0.62060273,0,2,306,0
25,25,4,4,0,0.49939725,0,1,221,0
163,99,10,10,0,0.64345578,64,2,4386,68
20,22,3,3,0,0.25409395,-2,1,450,0
25,16,3,3,0,1,9,0,,
25,20,3,3,0,0.32510117,5,1,,
392,193,21,21,14,0.87242457,199,4,1949,150
25,25,4,4,0,0.40460274,0,1,600,0
2918,1802,214,214,67,4.96711721,1116,42,38700,1200
69,71,8,8,0,0.28377387,-2,2,46384,66
1263,931,45,45,40,2.07905165,332,17,17727,475
18,18,3,3,0,0.23896499,0,0,132,0
25,21,4,4,0,0.24027669,4,1,354,0
25,16,3,3,0,0.32551369,9,0,144,0
25,25,4,4,0,0.19704109,0,0,86,0
18,16,3,3,0,0.14434932,2,0,496,0
25,17,3,3,0,0.19435939,8,0,1437,0
25,25,4,4,0,0.31649315,0,0,436,75
25,23,1,1,0,0.39404407,2,2,10,0
25,25,4,4,0,0.4289315,0,0,32,0
,,,,,,,,0,26
,,,,,,,,1675,0
50,50,8,8,0,1.06169865,0,1,13,0
25,25,4,4,0,0.64569861,0,0,,
40,40,7,7,0,0.60317809,0,2,67,0
,,,,,,,,459,0
1376,1059,167,167,38,2.13055647,317,30,84384,4706
,,,,,,,,6242,992
25,25,4,4,0,0.75331509,0,2,4066,127
,,,,,,,,1089,94
,,,,,,,,690,0
180,108,10,10,4,0.45603755,72,3,2551,46
,,,,,,,,485,54
216,87,14,14,0,0.66085803,129,6,81,0
271,166,18,18,0,1.57037306,105,6,23233,761
58,34,4,4,0,0.29863015,24,2,942,99
455,438,38,38,13,0.3713392,17,16,2823,221
197,170,22,22,0,0.43245769,27,8,1618,0
,,,,,,,,767,0
55,49,4,4,0,0.25608051,6,3,261,0
25,25,4,4,0,0.41961643,0,2,1033,69
,,,,,,,,6542,254
,,,,,,,,13060,542
25,25,4,4,0,0.26465753,0,1,898,0
152,99,10,10,0,0.35527882,53,3,3166,77
211,156,26,26,0,1.1817286,55,6,10047,711
,,,,,,,,230,53
25,25,4,4,0,0.16942465,0,2,614,0
,,,,,,,,706,0
24,24,4,4,0,0.82283103,0,2,266,0
786,390,18,18,4,1.70065596,396,3,8265,222
54,54,8,8,0,0.44961947,0,4,2845,0
49,49,6,6,0,0.29085827,0,2,450,44
42,38,7,7,0,0.21074261,4,1,253,0
48,48,8,8,0,0.17009133,0,2,369,64
25,25,4,4,0,0.32109588,0,2,345,0
527,507,32,32,16,0.39266625,20,7,19682,415
,,,,,,,,3228,427
,,,,,,,,42,0
25,25,4,4,0,0.52613699,0,2,64,0
2185,1950,367,367,78,6.13711097,235,73,44383,939
25,52,3,3,0,0.11359326,-27,2,219,0
224,177,20,20,0,0.88078178,47,7,1065,0
173,115,10,10,4,0.59418702,58,4,2994,41
,,,,,,,,343,0
,,,,,,,,1350,142
,,,,,,,,344,0
25,15,3,3,0,0.10520548,10,1,2533,234
107,95,8,8,0,0.45009372,12,3,9811,1087
75,75,6,6,0,0.31846574,0,3,6761,457
35,25,4,4,0,0.78849316,10,2,120,6
,,,,,,,,927,0
,,,,,,,,559,0
465,428,10,10,0,1.90086752,37,7,5828,135
150,81,7,7,0,0.42695755,69,8,237,4
61,61,6,6,0,0.1691893,0,2,2243,0
25,25,4,4,0,0.31200001,0,1,1326,0
192,118,12,12,15,0.32314837,74,3,6771,188
,,,,,,,,1035,22
,,,,,,,,267,0
445,445,25,25,6,0.85037508,0,9,14975,1900
,,,,,,,,4223,719
3094,2088,538,538,169,5.26041164,1006,98,151858,9678
,,,,,,,,4166,0
72,72,6,6,0,0.21609589,0,2,309,0
707,707,46,46,25,2.15261633,0,11,32821,2014
,,,,,,,,266,0
25,25,6,6,0,0.34191781,0,2,547,0
,,,,,,,,596,14
150,106,14,14,0,0.63494444,44,5,1614,142
90,65,6,6,0,0.20383562,25,3,185,0
,,,,,,,,26,0
25,25,4,4,0,0.43671232,0,2,350,0
90,90,6,6,0,0.43031964,0,6,289,0
,,,,,,,,517,0
25,25,4,4,0,0.50630134,0,2,575,69
25,25,4,4,0,0.33052054,0,2,442,0
75,75,6,6,0,0.1053516,0,2,6753,236
,,,,,,,,1127,217
130,85,12,12,0,0.98462099,45,7,3552,79
,,,,,,,,95,0
75,63,6,6,0,0.1100674,12,2,1687,0
25,25,4,4,0,0.32164383,0,2,2451,93
,,,,,,,,236,0
100,100,5,5,0,0.16747946,0,2,709,0
1057,573,40,40,0,1.21258304,484,18,5798,165
,,,,,,,,896,0
,,,,,,,,1308,5
,,,,,,,,1198,120
,,,,,,,,500,0
25,25,4,4,0,0.41621917,0,2,952,0
,,,,,,,,259,43
49,49,9,9,0,0.26374057,0,1,957,0
42,42,4,4,0,0.40952381,0,2,1545,0
25,25,4,4,0,0.076383561,0,2,154,0
90,47,6,6,0,0.27309823,43,2,26191,419
40,40,4,4,0,0.44719177,0,2,2414,24
,,,,,,,,163,0
25,25,4,4,0,0.34487671,0,2,8188,0
90,90,8,8,0,0.19351599,0,2,4594,162
,,,,,,,,125,0
,,,,,,,,148,0
,,,,,,,,608,0
358,229,32,32,0,0.66164982,129,20,1234,5
453,386,85,85,0,0.94706697,67,31,1791,138
,,,,,,,,132,0
283,230,38,38,0,0.45824894,53,5,3977,155
26,20,4,4,0,0.34767124,6,2,940,0
149,90,14,14,0,0.44424483,59,7,454,0
25,25,2,2,0,0.32361645,0,2,1670,238
75,75,6,6,0,0.20405479,0,2,2869,0
70,30,4,4,0,0.096438356,40,2,8609,268
25,25,4,4,0,0.74936986,0,2,2993,188
,,,,,,,,1293,0
90,90,8,8,0,0.28523591,0,3,836,24
,,,,,,,,1171,0
25,25,4,4,0,0.40120548,0,0,707,0
,,,,,,,,277,0
25,25,4,4,0,0.4620274,0,2,874,0
,,,,,,,,951,35
761,639,39,39,12,3.27583416,122,17,51999,282
,,,,,,,,534,0
25,25,4,4,0,0.34268492,0,1,630,0
,,,,,,,,2092,0
305,280,48,48,0,1.05179515,25,7,895,0
,,,,,,,,37,0
25,25,4,4,0,0.2550137,0,1,2116,0
170,144,7,7,0,0.83526975,26,3,22440,1235
109,74,7,7,0,0.33068381,35,2,10617,734
151,151,43,43,0,1.577970243,0,4,57059,3543
15,15,3,3,0,0.020091325,0,1,16765,667
94,92,6,6,0,1.17726678,2,2,8541,567
80,80,6,6,4,1.23166061,0,2,5111,280
21,21,4,4,0,0.25192434,0,1,8170,1317
278,217,19,19,0,2.55069864,61,10,28312,1545
2241,1993,167,167,87,5.52459815,248,60,156313,10940
947,744,91,91,43,3.32596824,203,19,40409,2797
87,77,13,13,0,0.28028323,10,1,3576,19
49,49,9,9,0,0,0,0,432,0
,,,,,,,,6321,198
47,37,4,4,0,0.36630878,10,2,4831,621
65,65,11,11,0,1.13457536,0,4,4611,303
34,34,6,6,0,0.1061241,0,1,17007,1060
2632,2273,242,242,118,9.51664046,359,41,217698,13861
23,23,4,4,0,0.14020251,0,0,6554,0
633,636,52,52,0,0.895605638,-3,0,12219,1561
285,227,24,24,0,0.392988099,58,4,5738,54
37,29,6,6,0,0.23608881,8,2,18200,539
,,,,,,,,2141,42
166,153,11,11,0,0.91331795,13,4,25218,2102
10,10,0,0,0,0.68410957,0,0,37505,2592
25,25,4,4,0,0.12186301,0,2,5950,577
2259,2003,209,209,111,7.704175739,256,42,547318,30033
92,92,5,5,0,1.67954081,0,2,6250,453
81,55,9,9,0,0.59521464,26,4,,
,,,,,,,,3120,3
1258,1266,176,176,159,7.83507833,-8,34,52611,1771
240,178,21,21,0,1.0583052,62,12,57912,4239
266,236,26,26,11,2.59748454,30,4,9735,817
0,0,0,0,0,0,0,0,25676,1600
25,25,5,5,0,0.068273969,0,2,6201,42
119,109,6,6,0,2.05205833,10,2,6985,337
117,102,12,12,0,0.98003912,15,4,9031,630
2209,1519,269,269,139,5.9324753,690,37,547942,35462
1043,828,113,113,60,4.87616254,215,29,78302,2477
,,,,,,,,15204,1228
26,25,4,4,0,0.16482192,1,2,11215,1327
1129,1114,75,75,55,6.5694652,15,32,44108,1586
37,37,4,4,0,1.2900365,0,2,2807,420
63,63,6,6,0,0.39283058,0,2,7464,115
48,48,8,8,0,0.079623289,0,2,2420,25
40,40,8,8,0,0.38595891,0,2,39540,1478
59,39,8,8,0,0.1775202,20,2,46321,3085
25,25,4,4,0,0.17019178,0,0,3063,68
44,44,4,4,0,1.18429417,0,2,21697,1684
82,82,0,0,0,0.70070165,0,0,62302,5582
366,320,45,45,0,1.75288537,46,6,18329,3299
43,43,4,4,0,1.40275192,0,2,21201,1519
186,152,15,15,0,0.49744265,34,5,19694,1818
1122,1062,254,254,28,5.34961418,60,22,116995,9704
516,516,79,79,14,3.123201627,0,10,55221,2171
,,,,,,,,667,0
567,344,38,38,8,2.175260603,223,13,43057,3067
35,35,6,6,0,0.57319634,0,1,17130,925
,,,,,,,,14248,5744
95,69,10,10,0,0.64323038,26,5,3976,203
134,123,7,7,0,1.46431836,11,2,2090,166
117,61,13,13,0,0.54874583,56,4,27347,2166
219,171,16,16,2,0.3522342,48,6,10680,434
,,,,,,,,10892,1836
30,30,5,5,0,0.54940641,0,0,2782,35
25,25,4,4,0,0.070027396,0,2,12427,557
60,46,5,5,0,0.14315267,14,2,7507,180
483,361,34,34,11,0.91310746,122,12,14292,154
228,160,24,24,0,2.07883492,68,9,529,32
1121,985,56,56,31,3.76446798,136,24,67280,2799
70,48,5,5,0,0.36034799,22,2,2201,59
114,98,14,14,0,1.28603656,16,5,762,46
594,464,24,24,0,1.98928239,130,7,8673,536
99,81,8,8,0,0.55560076,18,3,1429,20
25,25,4,4,0,0.49783707,0,0,1360,0
75,50,8,8,0,0.87223121,25,4,1787,0
773,581,60,60,23,3.4502029,192,33,6337,61
50,50,8,8,0,1.13326031,0,3,68,0
,,,,,,,,1930,4
50,50,8,8,0,0.90071234,0,4,1454,0
,,,,,,,,287,1
25,25,4,4,0,0.71589744,0,2,3624,882
50,50,8,8,0,0.70958904,0,4,134,0
229,206,14,14,0,1.02245957,23,6,23536,623
279,288,14,14,0,1.41747445,-9,6,10103,820
634,483,50,50,30,1.47133994,151,24,212298,9477
,,,,,,,,341844,17734
4284,3747,626,626,167,10.29615217,537,172,,
1965,1518,94,94,50,4.27276641,447,43,,
,,,,,,,,296140,13617
73,41,4,4,0,0.74685735,32,5,18563,974
,,,,,,,,12585,36
683,675,12,12,0,1.16379297,8,6,50671,5204
175,172,5,5,0,0.55117011,3,9,21215,1188
99,98,10,10,0,0.71738887,1,7,62976,4173
80,84,0,0,0,0.92795175,-4,0,7468,179
269,281,18,18,15,0.71862721,-12,16,107220,5792
