STATE,COUNTY,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
Alaska,Kodiak Island,25,24,4,4,0,0.20011416,1,2,,
Alaska,Kodiak Island Borough,,,,,,,,,121,0
Alaska,Lake and Peninsula Borough,,,,,,,,,30,0
Alaska,Matanuska-Susitna,125,74,14,14,0,0.66927063,51,3,,
Alaska,Matanuska-Susitna Borough,,,,,,,,,2104,71
Alaska,Nome,18,18,3,3,0,0.40167427,0,1,,
Alaska,Nome Census Area,,,,,,,,,169,0
Alaska,North Slope,10,14,3,3,0,0.17710371,-4,1,,
Alaska,North Slope Borough,,,,,,,,,41,0
Alaska,Northwest Arctic,17,17,3,3,0,0.2406124,0,0,,
Alaska,Northwest Arctic Borough,,,,,,,,,95,0
Alaska,Petersburg,12,12,2,2,0,0.26826483,0,0,,
Alaska,Petersburg Borough,,,,,,,,,203,0
Alaska,Prince of Wales-Hyder Census Area,,,,,,,,,150,0
Alaska,Sitka,25,27,4,4,0,0.33860984,-2,1,,
Alaska,Sitka City and Borough,,,,,,,,,218,0
Alaska,Southeast Fairbanks Census Area,,,,,,,,,212,0
Alaska,Unknown,,,,,,,,,100,0
Alaska,Valdez-Cordova,24,24,4,4,0,0.44285851,0,1,,
Alaska,Valdez-Cordova Census Area,,,,,,,,,309,0
Alaska,Wrangell,8,8,1,1,0,0.2875683,0,0,,
Alaska,Wrangell City and Borough,,,,,,,,,37,0
Alaska,Yukon-Koyukuk Census Area,,,,,,,,,87,0
Arizona,Apache,162,162,29,29,0,1.03207734,0,5,77030,1878
Arizona,Cochise,160,135,22,22,0,1.047910359,25,6,6996,148
Arizona,Coconino,418,396,61,61,18,2.26611355,22,12,65814,4585
Arizona,Gila,50,50,8,8,0,0.9526467,0,4,2478,94
Arizona,Graham,176,57,10,10,0,0.62251885,119,2,1854,52
Arizona,Greenlee,,,,,,,,,367,22
Arizona,La Paz,42,42,6,6,0,0.48016437,0,2,5595,138
Arizona,Maricopa,11544,9796,1137,1137,335,32.2918227,1748,281,683742,23237
Arizona,Mohave,610,551,80,80,0,1.58553997,59,20,21441,2290
Arizona,Navajo,188,176,24,24,0,1.85010737,12,5,105323,3408
Arizona,Pima,3727,3155,377,377,159,9.22695808,572,59,160678,10662
Arizona,Pinal,401,401,39,39,0,1.406980845,0,10,59280,1953
Arizona,Santa Cruz,25,25,4,4,0,0.2758356,0,2,24006,184
Arizona,Unknown,,,,,,,,,0,107
Arizona,Yavapai,385,302,43,43,0,2.61849999,83,12,16930,313
Arizona,Yuma,457,447,42,42,20,1.15870336,10,7,75841,1049
Arkansas,Arkansas,74,74,13,13,0,0.279664521,0,3,356,0
Arkansas,Ashley,33,25,6,6,0,0.40383562,8,2,1684,12
Arkansas,Baxter,268,170,17,17,0,0.51451904,98,4,626,0
Arkansas,Benton,342,311,34,34,8,1.53246076,31,7,36542,149
Arkansas,Boone,174,120,24,24,0,0.19586758,54,3,453,0
Arkansas,Bradley,33,25,4,4,0,0.2269589,8,2,1360,71
Arkansas,Carroll,40,40,8,8,0,0.47875799,0,4,1852,36
Arkansas,Chicot,35,35,4,4,0,0.98460275,0,2,1453,21
Arkansas,Clark,25,25,4,4,0,0.43671232,0,2,3005,0
Arkansas,Clay,25,25,4,4,0,0.49654794,0,1,494,5
Arkansas,Cleburne,25,25,4,4,0,0.35978082,0,1,6462,342
Arkansas,Cleveland,,,,,,,,,1189,0
Arkansas,Columbia,49,30,6,6,0,0.26273972,19,2,1287,104
Arkansas,Conway,25,25,4,4,0,0.3151781,0,2,1064,104
Arkansas,Craighead,730,561,74,74,12,2.25568482,169,17,12811,51
Arkansas,Crawford,103,35,8,8,0,0.28195488,68,2,1664,0
Arkansas,Crittenden,65,11,2,2,0,0.30316558,54,1,22204,525
Arkansas,Cross,25,15,3,3,0,0.56529683,10,2,2912,6
Arkansas,Dallas,25,22,4,4,0,0.089414693,3,0,135,0
Arkansas,Desha,50,50,8,8,0,0.51408218,0,2,1302,0
Arkansas,Drew,49,49,5,5,0,0.40402573,0,2,1367,74
Arkansas,Faulkner,357,355,25,25,0,1.87074838,2,6,8267,194
Arkansas,Franklin,25,25,4,4,0,0.1079452,0,1,259,0
Arkansas,Fulton,25,25,4,4,0,0.41347945,0,2,312,0
Arkansas,Garland,562,423,48,48,0,2.536005056,139,16,10142,48
Arkansas,Grant,,,,,,,,,1266,0
Arkansas,Greene,129,114,8,8,0,0.28514779,15,3,2916,0
Arkansas,Hempstead,79,67,8,8,0,0.092496425,12,2,1157,75
Arkansas,Hot Spring,72,64,6,6,0,0.39559075,8,2,2058,0
Arkansas,Howard,20,20,6,6,0,0.2920548,0,2,1638,1
Arkansas,Independence,235,170,12,12,0,0.47740531,65,4,1735,0
Arkansas,Izard,25,25,4,4,0,0.18476713,0,1,855,21
Arkansas,Jackson,,,,,,,,,330,0
Arkansas,Jefferson,471,271,34,34,0,0.43204772,200,7,28057,1378
Arkansas,Johnson,90,57,8,8,0,0.21523672,33,2,3517,0
Arkansas,Lafayette,,,,,,,,,619,58
Arkansas,Lawrence,25,25,4,4,0,0.30276242,0,2,4902,348
Arkansas,Lee,,,,,,,,,6832,70
Arkansas,Lincoln,,,,,,,,,58674,451
Arkansas,Little River,25,25,4,4,0,0.10871233,0,1,632,0
Arkansas,Logan,41,40,7,7,0,0.35142693,1,3,542,1
Arkansas,Lonoke,,,,,,,,,3742,0
Arkansas,Madison,,,,,,,,,2029,0
Arkansas,Marion,,,,,,,,,97,0
Arkansas,Miller,62,54,0,0,0,0.72064942,8,0,3385,69
Arkansas,Mississippi,124,124,9,9,0,0.46791863,0,3,3971,68
Arkansas,Monroe,,,,,,,,,350,0
Arkansas,Montgomery,,,,,,,,,84,0
Arkansas,Nevada,,,,,,,,,1475,11
Arkansas,Newton,,,,,,,,,215,0
Arkansas,Ouachita,98,87,8,8,0,0.14857502,11,2,713,0
Arkansas,Perry,,,,,,,,,784,0
Arkansas,Phillips,155,127,6,6,0,0.095178515,28,2,1249,75
Arkansas,Pike,,,,,,,,,334,0
Arkansas,Poinsett,,,,,,,,,2199,121
Arkansas,Polk,65,41,6,6,0,0.25706649,24,2,1531,1
Arkansas,Pope,170,137,11,11,0,0.40777922,33,4,8638,52
Arkansas,Prairie,,,,,,,,,272,0
Arkansas,Pulaski,4324,3565,220,220,168,8.58731609,759,63,58943,2026
Arkansas,Randolph,50,32,2,2,0,0.17696886,18,1,1639,5
Arkansas,Saline,257,210,16,16,0,1.10040831,47,3,7348,93
Arkansas,Scott,24,24,4,4,0,0.13470319,0,1,136,0
Arkansas,Searcy,,,,,,,,,551,0
Arkansas,Sebastian,1081,779,80,80,25,3.93943661,302,27,3834,33
Arkansas,Sevier,,,,,,,,,10988,116
Arkansas,Sharp,,,,,,,,,2039,114
Arkansas,St. Francis,118,56,6,6,0,0.28277886,62,2,29540,50
Arkansas,Stone,25,25,4,4,0,0.20767124,0,1,710,0
Arkansas,Union,166,111,16,16,0,0.32552543,55,3,8499,361
Arkansas,Unknown,,,,,,,,,14760,6
Arkansas,Van Buren,25,25,4,4,0,0.52065754,0,2,2396,160
Arkansas,Washington,1068,909,78,78,34,4.66121408,159,17,40370,411
Arkansas,White,465,272,17,17,0,0.92959159,193,10,3302,64
Arkansas,Woodruff,,,,,,,,,133,0
Arkansas,Yell,76,55,9,9,0,0.67622572,21,3,7585,70
California,Alameda,3464,3570,331,331,151,9.94199573,-106,74,200615,6006
California,Alpine,,,,,,,,,137,0
California,Amador,52,52,6,6,0,0.47054794,0,3,645,0
California,Butte,471,491,47,47,6,1.94507372,-20,19,2969,22
California,Calaveras,25,25,5,5,0,0.34421918,0,2,1213,0
California,Colusa,42,42,0,0,0,0.16268754,0,0,357,0
California,Contra Costa,1696,1636,172,172,97,4.45213613,60,44,96795,2504
California,Del Norte,49,39,6,6,0,0.51801896,10,3,1587,0
California,El Dorado,190,189,28,28,0,0.80652243,1,6,5643,0
California,Fresno,1902,1767,418,418,104,4.66809801,135,50,100625,1817
California,Glenn,47,15,3,3,0,1,32,1,1001,0
California,Humboldt,276,233,27,27,5,2.74951486,43,12,6375,113
California,Imperial,268,268,28,28,0,0.83555427,0,9,112524,1539
California,Inyo,29,29,5,5,0,0.48493152,0,2,1607,61
California,Kern,1560,1497,160,160,77,5.86525166,63,33,130877,1942
California,Kings,173,142,22,22,0,0.49605718,31,5,51176,256
California,Lake,62,50,8,8,0,1.31978082,12,5,1167,0
California,Lassen,25,25,4,4,0,0.35638356,0,1,215,0
California,Los Angeles,24753,23367,2352,2352,1147,57.25750611,1386,523,3085794,131660
California,Madera,464,464,52,52,116,0.92561444,0,18,8109,198
California,Marin,441,441,47,47,8,1.96095693,0,15,32364,1113
California,Mariposa,18,18,3,3,0,0.70958906,0,2,834,39
California,Mendocino,142,100,14,14,2,1.84531507,42,6,1654,0
California,Merced,242,242,24,24,0,0.90937325,0,12,17876,386
California,Modoc,20,20,4,4,0,0.4604452,0,2,,
California,Mono,17,17,2,2,0,0.26881546,0,1,2533,84
California,Monterey,747,709,47,47,34,2.08666358,38,14,33458,577
California,Napa,510,339,48,48,6,1.5252595,171,9,7960,214
California,Nevada,137,129,10,10,0,1.072,8,7,3675,81
California,Orange,5982,5777,703,703,316,14.6823445,205,141,362737,8306
California,Placer,748,693,70,70,64,1.8326745,55,20,17481,669
California,Plumas,35,36,8,8,0,0.91372014,-1,3,329,0
California,Riverside,3537,3417,385,385,107,10.26782903,120,89,475793,18252
California,Sacramento,3345,3209,377,377,192,9.12629475,136,102,101196,3958
California,San Benito,25,49,8,8,0,0.33447021,-24,2,6010,179
California,San Bernardino,4837,4650,611,611,305,12.89869996,187,107,298590,10867
California,San Diego,6618,6332,698,698,320,13.47274273,286,175,447364,16161
California,San Francisco,2860,2784,404,404,129,6.024590224,76,44,160540,2599
California,San Joaquin,2161,1334,110,110,79,4.39383309,827,47,66504,2433
California,San Luis Obispo,780,501,63,63,22,1.66108399,279,13,19097,80
California,San Mateo,2078,1634,105,105,16,2.326289149,444,16,131625,5060
California,Santa Barbara,826,631,84,84,51,3.02504952,195,26,93237,816
California,Santa Clara,4382,4352,445,445,276,6.80387735,30,87,202535,9778
California,Santa Cruz,372,354,27,27,24,2.1576128,18,13,13792,193
California,Shasta,590,576,96,96,16,2.139131077,14,35,2989,316
California,Sierra,,,,,,,,,32,0
California,Siskiyou,61,50,8,8,0,0.83375344,11,4,666,0
California,Solano,1519,1017,104,104,16,2.85235312,502,17,32955,1010
California,Sonoma,817,824,82,82,12,3.70150976,-7,30,33497,275
California,Stanislaus,1394,1380,123,123,63,3.4684254,14,51,47519,1544
California,Sutter,30,30,2,2,0,0.2258317,0,0,3550,169
California,Tehama,92,65,11,11,0,0.55353647,27,4,433,58
California,Trinity,25,25,4,4,0,0.23736987,0,1,104,0
California,Tulare,830,746,84,84,15,1.404361876,84,17,107502,4589
California,Tuolumne,72,84,6,6,0,0.48225701,-12,5,318,0
California,Unknown,,,,,,,,,7,4
California,Ventura,1379,1388,162,162,76,3.708883806,-9,35,69805,1990
California,Yolo,122,125,14,14,0,0.95117101,-3,7,14748,1413
California,Yuba,221,149,24,24,6,0.70734745,72,12,2001,79
Colorado,Adams,1741,1613,232,232,148,3.61008841,128,39,183249,7042
Colorado,Alamosa,49,49,6,6,0,0.37791446,0,2,3983,163
Colorado,Arapahoe,1241,1031,148,148,45,5.20652092,210,26,257097,16284
Colorado,Archuleta,11,11,2,2,0,0.29564133,0,1,609,0
Colorado,Baca,23,15,3,3,0,0.32566211,8,2,922,0
Colorado,Bent,,,,,,,,,93,0
Colorado,Boulder,856,715,72,72,44,3.14692673,141,14,59889,3724
Colorado,Broomfield,40,22,4,4,0,0.28692403,18,1,14886,1344
Colorado,Chaffee,25,25,2,2,0,0.43364385,0,2,5086,1153
Colorado,Cheyenne,25,11,2,2,0,0.056787048,14,1,226,0
Colorado,Clear Creek,,,,,,,,,1195,63
Colorado,Conejos,17,17,3,3,0,0.17292506,0,1,155,0
Colorado,Costilla,,,,,,,,,465,0
Colorado,Crowley,,,,,,,,,2696,96
Colorado,Custer,,,,,,,,,163,0
Colorado,Delta,49,49,6,6,0,0.27369303,0,2,3956,76
Colorado,Denver,3071,2000,294,294,126,4.851818363,1071,26,329286,17683
Colorado,Douglas,778,771,70,70,44,2.80625349,7,13,47455,2546
Colorado,Eagle,56,56,5,5,0,0.24907045,0,2,46514,611
Colorado,El Paso,1412,1334,130,130,130,3.53737352,78,25,103797,6257
Colorado,Elbert,,,,,,,,,3095,122
Colorado,Fremont,25,25,4,4,0,0.59517807,0,2,1692,0
Colorado,Garfield,103,53,8,8,2,1.23779935,50,4,9611,160
Colorado,Gilpin,,,,,,,,,210,0
Colorado,Grand,23,21,3,3,0,0.48545337,2,0,704,0
Colorado,Gunnison,24,20,3,3,0,0.23342466,4,2,13544,404
Colorado,Hinsdale,,,,,,,,,236,0
Colorado,Huerfano,20,16,3,3,0,0.13407534,4,0,199,0
Colorado,Jefferson,641,464,104,104,20,1.707307859,177,17,136647,9038
Colorado,Kiowa,25,25,4,4,0,0.65983564,0,0,,
Colorado,Kit Carson,19,19,3,3,0,0.24383561,0,0,1794,169
Colorado,La Plata,94,94,13,13,0,0.65110257,0,2,5478,45
Colorado,Lake,25,8,1,1,0,0.094863012,17,1,1851,0
Colorado,Larimer,742,712,64,64,25,4.24359279,30,25,36336,1637
Colorado,Las Animas,25,25,4,4,0,0.2570959,0,2,329,0
Colorado,Lincoln,15,15,3,3,0,0.17242008,0,0,230,0
Colorado,Logan,25,25,4,4,0,0.32405481,0,2,29983,196
Colorado,Mesa,548,452,35,35,0,1.98295018,96,13,4123,0
Colorado,Mineral,,,,,,,,,170,0
Colorado,Moffat,25,25,4,4,0,0.35309589,0,2,515,0
Colorado,Montezuma,25,25,4,4,0,0.38454795,0,2,2479,199
Colorado,Montrose,75,50,8,8,0,0.36652055,25,2,10307,790
Colorado,Morgan,75,61,10,10,0,0.30927853,14,3,34781,2064
Colorado,Otero,25,25,5,5,0,0.49082193,0,2,1043,60
Colorado,Ouray,,,,,,,,,503,75
Colorado,Park,,,,,,,,,1276,0
Colorado,Phillips,40,40,7,7,0,1.00482682,0,0,739,0
Colorado,Pitkin,25,25,4,4,0,0.21939726,0,2,5041,175
Colorado,Prowers,25,25,4,4,0,0.32734248,0,1,650,0
Colorado,Pueblo,1252,762,17,17,0,2.18234831,490,12,16298,1021
Colorado,Rio Blanco,35,35,6,6,0,0.97523287,0,2,88,0
Colorado,Rio Grande,17,17,3,3,0,0.39693797,0,2,1646,5
Colorado,Routt,39,39,4,4,0,0.22381455,0,2,4570,365
Colorado,Saguache,,,,,,,,,2805,42
Colorado,San Juan,,,,,,,,,50,0
Colorado,San Miguel,,,,,,,,,1624,0
Colorado,Sedgwick,15,9,2,2,0,0.29315069,6,0,,
Colorado,Summit,35,34,8,8,0,0.25253826,1,2,13546,137
Colorado,Teller,15,15,3,3,0,0.29461187,0,1,2364,166
Colorado,Unknown,,,,,,,,,6823,35
Colorado,Washington,,,,,,,,,1599,0
Colorado,Weld,428,225,33,33,0,0.52367735,203,7,156643,8345
